Altium Designer Pick and Place Locations
C:\Users\eSpark Cons Group\Documents\GitHub\Melih-SoundSensor\stephenlong-acfoutputpcb\Design-Files\ACF_Out-v1.0\Project Outputs for ACF_Out-v2.0\Pick Place for ACF_Out-v2.0.csv

========================================================================================================================
File Design Information:

Date:       30/04/25
Time:       18:09
Revision:   fc3080145714ae66ddf563868f6fbe0be98e8cfd
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","21.8675mm","36.6406mm","BottomLayer","0","21.8675mm","36.6406mm","20.8515mm","36.6406mm"
"C2","18.1890mm","40.3658mm","BottomLayer","270","18.1890mm","40.3658mm","18.1890mm","41.3818mm"
"C3","62.8930mm","71.4728mm","BottomLayer","270","62.8930mm","71.4728mm","62.8930mm","72.2348mm"
"C4","67.9730mm","71.4728mm","BottomLayer","270","67.9730mm","71.4728mm","67.9730mm","72.2348mm"
"C5","70.5130mm","71.4728mm","BottomLayer","270","70.5130mm","71.4728mm","70.5130mm","72.2348mm"
"C6","89.2730mm","65.9130mm","BottomLayer","270","89.2730mm","65.9130mm","89.2730mm","67.1830mm"
"C7","69.2430mm","71.4728mm","BottomLayer","270","69.2430mm","71.4728mm","69.2430mm","72.2348mm"
"C8","100.9930mm","71.4728mm","BottomLayer","270","100.9930mm","71.4728mm","100.9930mm","72.2348mm"
"C9","106.0730mm","71.4728mm","BottomLayer","270","106.0730mm","71.4728mm","106.0730mm","72.2348mm"
"C10","108.6130mm","71.4728mm","BottomLayer","270","108.6130mm","71.4728mm","108.6130mm","72.2348mm"
"C11","127.3730mm","65.9130mm","BottomLayer","270","127.3730mm","65.9130mm","127.3730mm","67.1830mm"
"C12","107.3430mm","71.4728mm","BottomLayer","270","107.3430mm","71.4728mm","107.3430mm","72.2348mm"
"D1","121.9480mm","25.2730mm","BottomLayer","0","121.9480mm","25.2730mm","120.9980mm","26.2730mm"
"D2","114.4550mm","25.2730mm","BottomLayer","0","114.4550mm","25.2730mm","113.5050mm","26.2730mm"
"J1","15.9756mm","88.2545mm","BottomLayer","180","15.9756mm","88.2545mm","4.5456mm","86.9845mm"
"J2","82.2125mm","29.6175mm","TopLayer","0","82.5300mm","33.1100mm","78.0850mm","33.7450mm"
"J3","122.8525mm","28.6650mm","TopLayer","0","120.6300mm","33.1100mm","124.4400mm","33.7450mm"
"J4","43.9156mm","88.2545mm","BottomLayer","180","43.9156mm","88.2545mm","55.3456mm","89.5245mm"
"J5","80.9425mm","72.1400mm","TopLayer","0","82.2200mm","74.1350mm","78.0850mm","70.2350mm"
"J6","119.0425mm","72.1400mm","TopLayer","0","120.3200mm","74.1350mm","116.1850mm","70.2350mm"
"J7","30.7018mm","52.5310mm","TopLayer","0","30.0500mm","52.0900mm","27.9980mm","57.7280mm"
"L1","25.6566mm","38.0972mm","BottomLayer","270","25.6566mm","38.0972mm","25.6566mm","39.0472mm"
"LED1","75.5300mm","85.6550mm","TopLayer","180","75.5300mm","85.6550mm","76.8000mm","85.6550mm"
"LED2","113.6300mm","85.6550mm","TopLayer","180","113.6300mm","85.6550mm","114.9000mm","85.6550mm"
"LED3","89.5300mm","85.6550mm","TopLayer","180","89.5300mm","85.6550mm","90.8000mm","85.6550mm"
"LED4","127.6300mm","85.6550mm","TopLayer","180","127.6300mm","85.6550mm","128.9000mm","85.6550mm"
"R1","60.3530mm","71.4474mm","BottomLayer","270","60.3530mm","71.4474mm","60.3530mm","72.2094mm"
"R2","65.4330mm","71.4728mm","BottomLayer","270","65.4330mm","71.4728mm","65.4330mm","72.2348mm"
"R3","59.0830mm","71.4474mm","BottomLayer","270","59.0830mm","71.4474mm","59.0830mm","72.2094mm"
"R4","61.6230mm","71.4474mm","BottomLayer","270","61.6230mm","71.4474mm","61.6230mm","72.2094mm"
"R5","87.2250mm","62.2554mm","BottomLayer","270","87.2250mm","62.2554mm","87.2250mm","63.0174mm"
"R6","64.1630mm","71.4474mm","BottomLayer","270","64.1630mm","71.4474mm","64.1630mm","72.2094mm"
"R7","81.6450mm","67.8688mm","BottomLayer","270","81.6450mm","67.8688mm","81.6450mm","68.6308mm"
"R8","83.2412mm","65.0494mm","BottomLayer","270","83.2412mm","65.0494mm","83.2412mm","65.8114mm"
"R9","83.2412mm","67.8688mm","BottomLayer","270","83.2412mm","67.8688mm","83.2412mm","68.6308mm"
"R10","81.6450mm","62.2554mm","BottomLayer","270","81.6450mm","62.2554mm","81.6450mm","63.0174mm"
"R11","85.6288mm","67.8688mm","BottomLayer","270","85.6288mm","67.8688mm","85.6288mm","68.6308mm"
"R12","67.9692mm","74.4335mm","BottomLayer","270","67.9692mm","74.4335mm","67.9692mm","75.1955mm"
"R13","85.6288mm","65.0494mm","BottomLayer","270","85.6288mm","65.0494mm","85.6288mm","65.8114mm"
"R14","87.2250mm","67.8688mm","BottomLayer","270","87.2250mm","67.8688mm","87.2250mm","68.6308mm"
"R15","70.5130mm","74.4335mm","BottomLayer","270","70.5130mm","74.4335mm","70.5130mm","75.1955mm"
"R16","66.7030mm","74.4335mm","BottomLayer","90","66.7030mm","74.4335mm","66.7030mm","73.6715mm"
"R17","71.7830mm","74.4335mm","BottomLayer","90","71.7830mm","74.4335mm","71.7830mm","73.6715mm"
"R18","83.2412mm","62.2554mm","BottomLayer","270","83.2412mm","62.2554mm","83.2412mm","63.0174mm"
"R19","85.6288mm","62.2554mm","BottomLayer","90","85.6288mm","62.2554mm","85.6288mm","61.4934mm"
"R20","98.4530mm","71.4474mm","BottomLayer","270","98.4530mm","71.4474mm","98.4530mm","72.2094mm"
"R21","103.5330mm","71.4728mm","BottomLayer","270","103.5330mm","71.4728mm","103.5330mm","72.2348mm"
"R22","97.1830mm","71.4474mm","BottomLayer","270","97.1830mm","71.4474mm","97.1830mm","72.2094mm"
"R23","99.7230mm","71.4474mm","BottomLayer","270","99.7230mm","71.4474mm","99.7230mm","72.2094mm"
"R24","125.3250mm","62.2554mm","BottomLayer","270","125.3250mm","62.2554mm","125.3250mm","63.0174mm"
"R25","102.2630mm","71.4474mm","BottomLayer","270","102.2630mm","71.4474mm","102.2630mm","72.2094mm"
"R26","119.7450mm","67.8688mm","BottomLayer","270","119.7450mm","67.8688mm","119.7450mm","68.6308mm"
"R27","121.3412mm","65.0494mm","BottomLayer","270","121.3412mm","65.0494mm","121.3412mm","65.8114mm"
"R28","121.3412mm","67.8688mm","BottomLayer","270","121.3412mm","67.8688mm","121.3412mm","68.6308mm"
"R29","119.7450mm","62.2554mm","BottomLayer","270","119.7450mm","62.2554mm","119.7450mm","63.0174mm"
"R30","123.7288mm","67.8688mm","BottomLayer","270","123.7288mm","67.8688mm","123.7288mm","68.6308mm"
"R31","106.0692mm","74.4335mm","BottomLayer","270","106.0692mm","74.4335mm","106.0692mm","75.1955mm"
"R32","123.7288mm","65.0494mm","BottomLayer","270","123.7288mm","65.0494mm","123.7288mm","65.8114mm"
"R33","125.3250mm","67.8688mm","BottomLayer","270","125.3250mm","67.8688mm","125.3250mm","68.6308mm"
"R34","108.6130mm","74.4335mm","BottomLayer","270","108.6130mm","74.4335mm","108.6130mm","75.1955mm"
"R35","104.8030mm","74.4335mm","BottomLayer","90","104.8030mm","74.4335mm","104.8030mm","73.6715mm"
"R36","109.8830mm","74.4335mm","BottomLayer","90","109.8830mm","74.4335mm","109.8830mm","73.6715mm"
"R37","121.3412mm","62.2554mm","BottomLayer","270","121.3412mm","62.2554mm","121.3412mm","63.0174mm"
"R38","123.7288mm","62.2554mm","BottomLayer","90","123.7288mm","62.2554mm","123.7288mm","61.4934mm"
"T1","66.0680mm","64.1808mm","BottomLayer","270","66.0680mm","64.1808mm","61.6230mm","68.4458mm"
"T2","104.1680mm","64.1808mm","BottomLayer","270","104.1680mm","64.1808mm","99.7230mm","68.4458mm"
"U1","21.5881mm","39.5450mm","BottomLayer","0","21.5881mm","39.5450mm","20.5931mm","38.5450mm"
